Seed Number,Area ,Perimeter ,Length ,Width ,Length in Y ,Width in X ,Centroid X ,Centroid Y ,Ave Radial ,Radial Var ,CMRV ,Circular. ,Elongation ,S. Factor ,Germination
86,0.3528,2.3406,0.8164,0.5207,0.8124,0.5291,21.0289,11.4535,0.3361,0.0028,157.599,0.821,0.6378,1.1116,Y
87,0.4628,2.7803,0.9591,0.608,0.946,0.6147,23.0531,11.2572,0.3836,0.0039,191.4735,0.8004,0.6339,1.1528,Y
88,0.423,2.6385,0.9057,0.8488,0.8926,0.5986,24.7234,11.1295,0.3686,0.0035,175.9116,0.8103,0.9372,1.1445,Y
89,0.4165,2.6229,0.899,0.8022,0.8979,0.5933,26.6233,11.2647,0.3656,0.0035,177.6941,0.8101,0.8923,1.1464,Y
90,0.423,2.6184,0.92,0.8333,0.914,0.5933,28.5674,11.2172,0.3701,0.0038,190.4508,0.7977,0.9057,1.1358,N
91,0.3747,2.592,0.8302,0.5602,0.7964,0.6521,2.4001,14.3146,0.3473,0.0027,143.0369,0.832,0.6748,1.1945,Y
92,0.323,2.3759,0.7922,0.6791,0.791,0.5238,4.4034,14.1213,0.3207,0.0024,141.0533,0.8094,0.8572,1.1794,Y
93,0.357,2.4336,0.8181,0.7408,0.8124,0.5612,6.2733,13.9579,0.3374,0.0026,144.2919,0.8241,0.9056,1.149,Y
94,0.3622,2.4334,0.842,0.7427,0.8391,0.5345,8.1753,13.8872,0.3415,0.0032,173.0903,0.8065,0.882,1.1405,Y
95,0.4003,2.5111,0.8718,0.7679,0.8712,0.5559,10.0232,13.8445,0.3581,0.0033,170.462,0.8189,0.8808,1.1197,Y
96,0.3509,2.4339,0.8594,0.7297,0.8605,0.5078,11.7532,13.7693,0.3364,0.0042,232.0181,0.7777,0.8491,1.1591,Y
97,0.3721,2.4302,0.84,0.5473,0.8338,0.5719,13.6735,13.616,0.3455,0.0029,154.4589,0.8194,0.6515,1.1239,Y
98,0.3941,2.4449,0.8102,0.7125,0.791,0.5879,15.5805,13.5939,0.3541,0.0016,85.0874,0.8744,0.8794,1.0986,Y
99,0.3665,2.3966,0.8647,0.5202,0.8605,0.5291,17.4804,13.4942,0.3438,0.0034,187.3662,0.79,0.6016,1.1167,Y
100,0.3867,2.4678,0.8543,0.7773,0.8445,0.5666,19.3776,13.4285,0.353,0.0027,141.4303,0.8214,0.9098,1.1195,Y
101,0.3581,2.3622,0.8579,0.5358,0.8552,0.5398,21.1781,13.2738,0.3392,0.0031,168.3922,0.7871,0.6245,1.1135,Y
102,0.4002,2.4975,0.8724,0.5678,0.8712,0.5719,23.1444,13.208,0.3569,0.0029,154.1995,0.8182,0.6508,1.1137,Y
103,0.2608,2.0413,0.713,0.6469,0.6948,0.4757,24.9535,12.9424,0.2893,0.0018,119.3012,0.8082,0.9073,1.1275,Y
104,0.3518,2.3731,0.8289,0.5388,0.8017,0.5826,26.6938,12.9876,0.3362,0.0026,144.3278,0.8075,0.65,1.1286,Y
105,0.4846,2.7892,0.9736,0.623,0.9514,0.6948,28.6366,12.796,0.3949,0.0038,180.4429,0.8069,0.6399,1.1302,Y
106,0.3855,2.6648,0.8517,0.5685,0.8338,0.5772,2.3481,15.9936,0.3515,0.0027,145.4794,0.8225,0.6675,1.2108,Y
107,0.406,2.7448,0.8871,0.5675,0.8872,0.5772,4.487,15.8282,0.3603,0.0033,171.6797,0.8105,0.6397,1.2151,Y
108,0.3581,2.4393,0.7904,0.5609,0.7803,0.5666,6.3137,15.7449,0.338,0.0017,95.5821,0.8543,0.7097,1.1499,Y
109,0.377,2.506,0.8481,0.5649,0.8391,0.6147,8.3597,15.5728,0.348,0.0028,149.347,0.8169,0.666,1.1514,Y
110,0.3917,2.5176,0.8911,0.5425,0.8819,0.5505,10.0374,15.6195,0.3552,0.0037,193.443,0.7925,0.6088,1.1347,Y
111,0.4429,2.6654,0.9323,0.5802,0.9247,0.5826,11.6773,15.5095,0.3771,0.0039,194.3732,0.8055,0.6224,1.1298,Y
112,0.3687,2.4438,0.8921,0.7695,0.8819,0.5184,13.8419,15.4174,0.3468,0.0043,229.6929,0.768,0.8625,1.1354,Y
113,0.4417,2.6365,0.9215,0.7931,0.9193,0.5933,15.7014,15.3629,0.3767,0.0035,173.2533,0.8138,0.8607,1.1191,Y
114,0.4073,2.508,0.8777,0.5571,0.8766,0.5612,17.6184,15.1009,0.3608,0.0032,164.1963,0.8205,0.6347,1.1085,Y
115,0.4165,2.6151,0.9003,0.762,0.8979,0.5772,19.3452,15.0648,0.3663,0.0035,177.2626,0.8088,0.8464,1.1431,Y
116,0.3746,2.3992,0.8137,0.6938,0.8071,0.5772,21.2594,15.0527,0.3465,0.0019,101.672,0.8487,0.8527,1.1059,Y
117,0.3358,2.2746,0.8116,0.7227,0.7964,0.5238,23.2876,15.0564,0.3275,0.0026,146.9935,0.8056,0.8904,1.1074,Y
118,0.4091,2.6028,0.8998,0.8232,0.8819,0.5986,25.0815,14.803,0.363,0.0036,183.4168,0.8021,0.9149,1.148,Y
119,0.5075,2.847,0.9855,0.6221,0.9674,0.7055,26.7342,14.7305,0.4029,0.0039,180.5656,0.8156,0.6313,1.1274,Y
120,0.2264,1.8807,0.6563,0.4369,0.6467,0.449,28.6723,14.5582,0.2689,0.0014,97.2612,0.8182,0.6657,1.115,N
121,0.3735,2.6532,0.8597,0.535,0.8445,0.6147,2.488,17.945,0.3456,0.0036,196.0623,0.8021,0.6223,1.2247,Y
122,0.4776,2.867,0.9666,0.6186,0.9567,0.6521,4.5951,17.8097,0.3907,0.0037,176.6911,0.8067,0.6399,1.1703,Y
123,0.3889,2.6491,0.9204,0.5158,0.8979,0.5772,6.3686,17.6469,0.355,0.0051,269.9075,0.7646,0.5604,1.1983,Y
124,0.4121,2.6817,0.918,0.5456,0.9193,0.5772,8.3792,17.5742,0.3634,0.0045,231.8104,0.7891,0.5944,1.1784,Y
125,0.4186,2.6737,0.9451,0.7791,0.946,0.5559,10.2144,17.5534,0.3687,0.0054,275.4414,0.7725,0.8244,1.1658,Y
126,0.3352,2.5303,0.8383,0.4936,0.8338,0.4971,11.923,17.51,0.3251,0.0042,240.5095,0.7793,0.5888,1.2329,Y
127,0.4161,2.6159,0.8945,0.5702,0.8872,0.5719,13.8805,17.4019,0.3663,0.0035,176.456,0.8137,0.6374,1.144,Y
128,0.3442,2.3552,0.7937,0.5198,0.791,0.5291,15.8523,17.4184,0.3326,0.0025,138.4585,0.8342,0.6549,1.1324,Y
129,0.321,2.351,0.7908,0.508,0.7857,0.5238,17.8305,17.1844,0.3218,0.0025,147.9413,0.8085,0.6423,1.1705,Y
130,0.346,2.3916,0.7583,0.5957,0.7536,0.6253,19.4863,17.1406,0.3333,0.0011,62.1666,0.8753,0.7855,1.1469,Y
131,0.3863,2.4306,0.8377,0.5738,0.8231,0.5719,21.3446,16.9941,0.3509,0.0023,122.2235,0.8372,0.685,1.1031,Y
132,0.4383,2.6714,0.9451,0.5693,0.9086,0.6521,23.2898,17.106,0.3762,0.0042,207.5636,0.7904,0.6024,1.1383,Y
133,0.4283,2.5784,0.884,0.7675,0.8766,0.6093,25.2009,16.8557,0.3703,0.0027,138.3418,0.8354,0.8683,1.1114,Y
134,0.4123,2.5799,0.8582,0.5994,0.8391,0.604,26.9405,16.6517,0.3623,0.0021,106.2732,0.8442,0.6985,1.1335,Y
135,0.3823,2.5158,0.8409,0.7494,0.8338,0.5719,28.7449,16.5953,0.3499,0.0027,144.086,0.8297,0.8911,1.1478,Y
136,0.331,2.4532,0.7953,0.5313,0.791,0.5772,2.4768,20.0553,0.3251,0.0025,142.5447,0.8163,0.6681,1.2028,Y
137,0.4399,2.7951,0.882,0.6147,0.8872,0.62,4.6849,19.9893,0.3736,0.0024,122.6512,0.8485,0.6969,1.1888,Y
138,0.4354,2.7521,0.9162,0.8405,0.9247,0.5933,6.5196,19.9326,0.3728,0.0038,191.1032,0.8127,0.9174,1.1765,Y
139,0.364,2.5154,0.8425,0.6908,0.8445,0.5452,8.5729,19.8648,0.3417,0.0033,178.2464,0.8081,0.82,1.1761,Y
140,0.3194,2.3418,0.7856,0.5085,0.7857,0.5345,10.2367,19.7916,0.32,0.0025,146.0486,0.8117,0.6472,1.1689,Y
141,0.3285,2.8459,0.79,0.5503,0.7643,0.6093,11.9806,19.6858,0.3188,0.0025,146.7679,0.8187,0.6966,1.4006,Y
142,0.3385,2.4054,0.7988,0.5388,0.775,0.5879,14.0055,19.663,0.3295,0.0022,127.2359,0.8219,0.6745,1.1663,Y
143,0.4129,2.5597,0.881,0.5693,0.8285,0.7109,16.0642,19.5241,0.3689,0.0029,149.306,0.8229,0.6461,1.1238,Y
144,0.5168,3.0071,0.985,0.6488,0.8498,0.8498,17.9579,19.4854,0.4084,0.0032,146.5494,0.8236,0.6586,1.18,Y
145,0.4123,2.5939,0.8922,0.5844,0.8872,0.6093,19.5824,19.4302,0.3653,0.0031,158.3919,0.8121,0.655,1.1396,Y
146,0.3518,2.4089,0.8325,0.758,0.8231,0.5345,21.4179,19.3,0.3369,0.003,167.4632,0.804,0.9106,1.1456,Y
147,0.292,2.1052,0.7,0.5126,0.6948,0.5131,23.5253,19.2331,0.3053,0.0013,77.0863,0.8711,0.7322,1.0989,Y
148,0.4011,2.5449,0.8546,0.5821,0.8391,0.5772,25.4553,19.2403,0.358,0.0027,141.5951,0.8363,0.6811,1.1335,Y
149,0.5385,2.9602,0.9547,0.8041,0.9514,0.7429,27.1453,19.1118,0.4153,0.0023,103.3956,0.8673,0.8423,1.1379,Y
150,0.2712,2.0741,0.6839,0.4873,0.6788,0.5291,28.9783,19.0612,0.2937,0.0012,79.5257,0.8593,0.7126,1.1234,Y
151,0.2909,2.4299,0.7799,0.688,0.7745,0.5028,3.5124,4.2679,0.3062,0.0028,159.7898,0.7804,0.8822,1.2709,Y
152,0.4529,3.0917,0.9288,0.6018,0.9305,0.6357,5.2348,4.2661,0.3812,0.0036,161.555,0.8176,0.6479,1.296,Y
153,0.2841,2.1936,0.732,0.6586,0.7282,0.5086,7.0121,4.1805,0.3007,0.0018,101.4006,0.8216,0.8997,1.161,Y
154,0.3047,2.2659,0.7516,0.6392,0.7571,0.5028,8.9492,4.2637,0.311,0.0019,104.5123,0.8287,0.8505,1.1579,Y
155,0.4123,2.6578,0.8664,0.8281,0.8669,0.6415,10.9603,4.0906,0.3638,0.0026,123.1501,0.8363,0.9558,1.1676,Y
156,0.3827,2.6199,0.8286,0.7178,0.8207,0.5722,12.6917,4.1422,0.3501,0.0024,117.568,0.8424,0.8663,1.1947,Y
157,0.3088,2.4288,0.7674,0.5126,0.7571,0.5202,14.456,4.1957,0.3124,0.002,112.8241,0.8171,0.6679,1.2329,Y
158,0.3812,2.6016,0.8173,0.7051,0.8322,0.5779,16.4394,4.12,0.3476,0.0023,112.2744,0.8524,0.8627,1.1887,Y
159,0.3003,2.3367,0.7471,0.6833,0.7513,0.497,18.1535,4.1254,0.3066,0.0022,124.0732,0.8277,0.9146,1.2029,Y
160,0.4008,2.7465,0.8705,0.768,0.8669,0.5606,19.5737,4.1732,0.3572,0.0032,156.8029,0.8207,0.8822,1.2238,Y
161,0.4018,2.9357,0.8833,0.5553,0.8843,0.5722,21.4261,4.3558,0.358,0.0038,184.4194,0.8098,0.6287,1.3064,Y
162,0.3077,2.3082,0.7113,0.5454,0.7224,0.5779,22.7521,4.3341,0.3116,0.0009,47.8692,0.8799,0.7667,1.1738,Y
163,0.3783,2.6742,0.8287,0.5591,0.8438,0.5664,24.4353,4.2926,0.3472,0.0025,122.9481,0.8374,0.6747,1.2265,Y
164,0.3785,2.6822,0.8248,0.5986,0.8149,0.6415,26.2612,4.2316,0.3472,0.0019,94.0349,0.8416,0.7257,1.2298,Y
165,0.489,3.271,0.965,0.6425,0.9652,0.6589,28.1386,4.309,0.4024,0.0034,144.7667,0.8176,0.6657,1.3196,Y
166,0.3982,2.9379,0.8934,0.7585,0.89,0.6011,3.4978,6.2212,0.3613,0.0035,167.894,0.797,0.8491,1.3134,Y
167,0.3414,2.4699,0.7296,0.6602,0.6415,0.7051,5.2829,6.1948,0.3286,0.0006,31.4381,0.9037,0.9049,1.1924,Y
168,0.4691,2.9375,0.9655,0.5922,0.9189,0.7167,7.1537,6.1972,0.3922,0.0041,181.8829,0.8005,0.6134,1.2098,Y
169,0.3885,2.589,0.8759,0.5322,0.9016,0.5375,9.1691,6.1263,0.352,0.0039,191.484,0.8029,0.6076,1.1718,Y
170,0.3605,2.5007,0.8439,0.515,0.8669,0.5375,11.1506,6.1132,0.3371,0.0032,165.1912,0.8029,0.6103,1.1748,Y
171,0.3657,2.4686,0.8173,0.7585,0.8207,0.5433,12.9845,6.105,0.3402,0.0025,128.6395,0.8348,0.928,1.1516,Y
172,0.3605,2.5283,0.8025,0.7704,0.7918,0.6184,14.8002,6.054,0.3402,0.002,100.277,0.8442,0.96,1.1879,Y
173,0.3972,2.8011,0.8764,0.7398,0.8727,0.5606,16.5986,6.0587,0.3557,0.0036,177.1508,0.8114,0.8442,1.2539,Y
174,0.3936,2.6534,0.8648,0.77,0.8611,0.5837,18.5659,6.1375,0.3547,0.0028,136.1542,0.8186,0.8904,1.1931,Y
175,0.3234,2.4181,0.7543,0.7197,0.734,0.5722,19.9375,6.2174,0.3201,0.0016,86.2444,0.8508,0.9542,1.1995,Y
176,0.2801,2.3282,0.7005,0.5259,0.6762,0.5086,21.56,6.0159,0.2961,0.0013,76.7451,0.8526,0.7508,1.2408,Y
177,0.4163,2.8375,0.8963,0.8588,0.8669,0.6704,22.9908,6.2177,0.3662,0.0036,170.2842,0.8123,0.9582,1.2406,Y
178,0.3496,2.7809,0.7766,0.6024,0.7571,0.6589,25.2345,6.258,0.3365,0.0014,71.8067,0.8591,0.7757,1.3267,Y
179,0.454,3.133,0.9103,0.8496,0.9016,0.6357,26.4142,6.1565,0.3838,0.0025,112.4748,0.8352,0.9333,1.3117,Y
180,0.4329,3.2802,0.8985,0.8418,0.9189,0.6184,28.2333,6.1707,0.3654,0.0034,159.9633,0.8263,0.9369,1.4064,Y
181,0.4909,3.1916,0.9566,0.6419,0.9594,0.6935,3.4196,8.2609,0.3959,0.003,132.9459,0.8265,0.6711,1.285,Y
182,0.4077,2.8321,0.9091,0.8172,0.8958,0.6126,5.1942,8.1175,0.3637,0.0037,177.7223,0.7925,0.899,1.2513,N
183,0.3589,2.6268,0.8248,0.5458,0.8207,0.5548,7.2121,8.0685,0.3385,0.0024,122.7822,0.8196,0.6617,1.2369,N
184,0.402,2.7115,0.8762,0.5669,0.8669,0.6473,9.1532,8.02,0.3597,0.0029,141.4115,0.8164,0.647,1.2064,Y
185,0.4063,2.6249,0.8685,0.5636,0.89,0.5664,11.1836,7.8173,0.36,0.0032,154.6356,0.8282,0.6489,1.1617,Y
186,0.3828,2.5761,0.8445,0.7422,0.8669,0.5548,13.0408,7.942,0.348,0.0028,140.6999,0.8267,0.8788,1.1746,Y
187,0.2863,2.1788,0.6982,0.486,0.6993,0.4913,14.9518,7.9046,0.3014,0.0014,83.2201,0.8647,0.6961,1.1486,N
188,0.4276,2.7832,0.8836,0.769,0.8727,0.5837,16.6024,7.7764,0.3705,0.003,138.1372,0.8351,0.8703,1.2007,N
189,0.3268,2.3574,0.7356,0.6815,0.7282,0.5433,18.6391,7.7103,0.3225,0.0014,73.7402,0.8769,0.9265,1.1633,Y
190,0.3949,2.617,0.839,0.6452,0.7687,0.7224,20.1068,7.5924,0.3561,0.0022,105.9315,0.8452,0.769,1.1748,Y
191,0.4075,2.9292,0.8432,0.7187,0.8438,0.6415,21.7046,7.8554,0.3589,0.0025,120.0475,0.8543,0.8524,1.2945,Y
192,0.3254,2.5347,0.74,0.5338,0.7282,0.6068,23.2291,7.7731,0.3201,0.0014,77.4861,0.8699,0.7213,1.2534,Y
193,0.3735,2.5327,0.805,0.6727,0.7802,0.7167,24.7984,7.757,0.3467,0.0016,80.0753,0.8567,0.8357,1.1691,Y
194,0.3429,2.7292,0.788,0.7194,0.7745,0.5606,26.5991,7.9692,0.3332,0.0018,95.2807,0.8385,0.9129,1.3148,Y
195,0.3734,2.6261,0.8297,0.7249,0.8207,0.5722,28.4436,7.9839,0.348,0.0022,108.697,0.831,0.8736,1.2124,Y
196,0.3777,2.7501,0.872,0.7216,0.8958,0.5433,3.4677,10.3715,0.3502,0.0033,163.0778,0.7952,0.8275,1.2624,Y
197,0.3055,2.2807,0.7149,0.5341,0.5259,0.6993,5.4113,10.2661,0.3108,0.0011,62.8114,0.8724,0.7472,1.1641,N
198,0.3664,2.6453,0.8257,0.733,0.8207,0.5491,7.2935,10.1536,0.3444,0.0026,130.1637,0.8273,0.8877,1.2327,Y
199,0.3325,2.4263,0.79,0.733,0.7745,0.5202,9.3805,10.1347,0.3283,0.0024,125.9043,0.8237,0.9279,1.187,Y
200,0.2854,2.2713,0.7497,0.654,0.7456,0.4624,11.437,10.1115,0.3051,0.0026,145.6215,0.8041,0.8724,1.1993,Y
201,0.2816,2.1865,0.6903,0.5018,0.5953,0.6531,13.2439,10.1297,0.3003,0.001,59.0391,0.8675,0.7269,1.1623,Y
202,0.4141,2.6326,0.8831,0.5844,0.89,0.5837,15.095,9.9513,0.3636,0.0029,136.2513,0.8223,0.6618,1.154,Y
203,0.3442,2.4824,0.8288,0.6829,0.8265,0.5259,16.7672,9.9542,0.3335,0.0031,163.0284,0.7987,0.8239,1.1936,Y
204,0.3065,2.3778,0.7504,0.5119,0.7456,0.5144,18.6783,9.9278,0.3108,0.0019,104.9901,0.8325,0.6821,1.2115,Y
205,0.29,2.559,0.7551,0.486,0.7571,0.4913,20.2821,9.8472,0.2998,0.0028,158.9314,0.8047,0.6437,1.3405,Y
206,0.4836,3.022,0.9743,0.614,0.971,0.6184,22.0098,9.9625,0.3925,0.0044,194.8722,0.8054,0.6302,1.2258,N
207,0.3666,2.641,0.8747,0.7844,0.8554,0.6126,23.525,9.8429,0.3438,0.0041,204.0174,0.781,0.8968,1.2305,Y
208,0.3459,2.6621,0.7621,0.5636,0.6126,0.7629,25.0562,9.9671,0.3282,0.0014,75.9045,0.8708,0.7396,1.2769,N
209,0.374,2.8125,0.828,0.7456,0.8265,0.5953,26.9561,9.9261,0.35,0.0019,96.2009,0.8334,0.9005,1.2973,N
210,0.4728,3.0103,0.9474,0.852,0.9478,0.6473,28.6332,9.9988,0.3899,0.0034,152.7538,0.819,0.8993,1.235,Y
211,0.3021,2.3114,0.7708,0.4946,0.7629,0.5433,3.514,12.1245,0.3112,0.0026,145.6827,0.8046,0.6417,1.1863,Y
212,0.3739,2.6836,0.8558,0.5361,0.8322,0.6242,5.5476,12.0853,0.3495,0.0035,171.9406,0.8062,0.6264,1.238,Y
213,0.4031,2.8174,0.8657,0.5759,0.8322,0.6935,7.3452,12.042,0.3635,0.0026,125.7147,0.8276,0.6652,1.2518,Y
214,0.36,2.4776,0.8517,0.7069,0.8496,0.5375,9.5142,12.1433,0.3405,0.003,154.8934,0.795,0.8301,1.1648,Y
215,0.3987,2.6859,0.7994,0.6028,0.7976,0.6126,11.4563,12.1838,0.3575,0.0011,54.1309,0.8913,0.7541,1.2,Y
216,0.3782,2.4712,0.8718,0.7647,0.8727,0.5375,13.3501,12.1176,0.3502,0.0037,182.7856,0.796,0.8771,1.1335,Y
217,0.4209,2.6079,0.9122,0.551,0.9074,0.5606,15.3056,12.0509,0.3695,0.0042,196.92,0.8025,0.604,1.1339,Y
218,0.4175,2.6877,0.8846,0.579,0.8843,0.5895,17.0305,12.1326,0.3656,0.0028,134.5183,0.8242,0.6545,1.1734,Y
219,0.2922,2.2368,0.713,0.6784,0.6878,0.5548,18.8853,12.0611,0.3039,0.0014,79.1457,0.8555,0.9514,1.1672,N
220,0.3283,2.4998,0.7879,0.5217,0.786,0.5317,20.5877,11.9368,0.3248,0.0024,127.4875,0.8205,0.6622,1.2308,N
221,0.3572,2.634,0.7836,0.7524,0.6531,0.7629,22.2561,12.1985,0.3364,0.0017,89.2625,0.8605,0.9602,1.2433,Y
222,0.3495,2.4144,0.7915,0.6982,0.786,0.5433,23.726,12.1184,0.3322,0.0023,118.1033,0.8428,0.8821,1.1522,Y
223,0.4164,2.7485,0.8697,0.8196,0.8669,0.63,25.4952,12.1894,0.365,0.0026,125.2732,0.8373,0.9425,1.2015,Y
224,0.3845,2.7039,0.8388,0.5821,0.8265,0.5837,27.1807,12.3169,0.3494,0.0022,109.4597,0.8341,0.694,1.2301,Y
225,0.4064,2.9866,0.893,0.8464,0.8611,0.6993,28.8234,12.2701,0.3677,0.0035,163.642,0.8056,0.9479,1.3215,Y
226,0.4799,3.03,0.9668,0.607,0.9594,0.6473,3.5253,14.1066,0.395,0.0042,185.4292,0.8085,0.6278,1.2339,Y
227,0.3001,2.3197,0.7574,0.4829,0.734,0.5259,5.4817,14.0074,0.3116,0.0025,136.6665,0.8162,0.6376,1.1945,Y
228,0.3692,2.5978,0.8162,0.7305,0.8091,0.5606,7.3542,14.051,0.3441,0.0023,117.2808,0.8399,0.895,1.2061,Y
229,0.3033,2.5542,0.7881,0.684,0.7687,0.5086,9.5012,13.8497,0.3177,0.0029,160.0853,0.7885,0.8679,1.3084,Y
230,0.3362,2.2471,0.7416,0.6889,0.7282,0.5375,11.4541,13.9616,0.327,0.0014,73.1314,0.8822,0.929,1.0932,Y
231,0.4499,2.7221,0.9238,0.5828,0.9132,0.5837,13.3038,14.0783,0.383,0.0038,170.6028,0.8193,0.6309,1.1448,Y
232,0.4201,2.6306,0.8532,0.6423,0.7976,0.7456,15.3364,13.9001,0.3665,0.002,93.5433,0.8572,0.7527,1.1449,Y
233,0.3715,2.5263,0.841,0.5739,0.8207,0.6357,17.0906,13.9816,0.3459,0.0025,125.5167,0.8177,0.6823,1.1692,Y
234,0.3955,2.5641,0.8617,0.5848,0.8611,0.6184,18.9897,13.8034,0.3594,0.0028,136.4622,0.8235,0.6786,1.1502,Y
235,0.3477,2.3566,0.7826,0.6171,0.6531,0.7282,20.6997,13.8254,0.3341,0.0016,85.2835,0.8501,0.7885,1.1275,Y
236,0.3076,2.3561,0.7772,0.7243,0.7513,0.5606,22.3947,13.8762,0.3144,0.0028,152.5888,0.8052,0.9319,1.1983,Y
237,0.3852,2.6002,0.8214,0.7171,0.8033,0.5895,23.8936,13.7072,0.3482,0.002,97.2572,0.8526,0.8731,1.1818,Y
238,0.3559,2.5231,0.8266,0.7807,0.7976,0.5953,25.5776,13.7992,0.3359,0.0026,133.2949,0.8144,0.9444,1.193,Y
239,0.3166,2.2994,0.7326,0.528,0.7282,0.5317,27.253,13.9081,0.3173,0.0014,77.2477,0.8667,0.7207,1.1528,Y
240,0.3002,2.2586,0.7681,0.6941,0.7513,0.5375,28.8484,13.9392,0.3121,0.0023,125.1529,0.8048,0.9037,1.1629,Y
241,0.2574,2.1464,0.6721,0.4768,0.6646,0.4797,3.549,16.1471,0.2849,0.0014,86.656,0.8518,0.7093,1.1933,Y
242,0.3097,2.2766,0.7787,0.6799,0.7687,0.497,5.424,16.0678,0.3166,0.0024,129.671,0.8064,0.8732,1.1541,Y
243,0.4003,2.7685,0.872,0.7943,0.8554,0.5953,7.3771,15.9827,0.3548,0.0025,123.9648,0.8187,0.9109,1.2344,Y
244,0.4543,2.9034,0.9384,0.8566,0.9363,0.6415,9.4104,15.8987,0.3827,0.0038,173.807,0.8105,0.9129,1.2152,Y
245,0.3822,2.4554,0.8365,0.7352,0.8265,0.5606,11.4078,16.0222,0.3502,0.0028,136.2398,0.8339,0.8789,1.1204,Y
246,0.4086,2.6155,0.8784,0.7921,0.8669,0.5606,13.4162,15.9859,0.3627,0.0034,163.2303,0.8211,0.9018,1.1542,Y
247,0.3236,2.3062,0.7749,0.5271,0.7745,0.5548,15.5142,15.8167,0.3227,0.002,108.0999,0.8283,0.6802,1.1436,Y
248,0.4017,2.5154,0.8809,0.5757,0.8727,0.5779,17.3915,15.8741,0.3596,0.0031,151.4456,0.8119,0.6536,1.1196,Y
249,0.4476,3.223,0.9114,0.6051,0.9016,0.6068,19.1688,15.7898,0.3656,0.0041,193.6215,0.8283,0.6639,1.3591,N
250,0.2832,2.232,0.7449,0.4877,0.7398,0.4913,20.7783,15.6058,0.2997,0.0024,136.165,0.806,0.6547,1.1832,Y
251,0.3896,2.9319,0.8656,0.7802,0.8611,0.6011,22.5866,15.7635,0.3446,0.0036,180.617,0.8136,0.9013,1.3251,Y
252,0.4312,2.7053,0.8495,0.6319,0.838,0.6993,24.3351,15.9101,0.3698,0.0018,86.068,0.8722,0.7438,1.1622,Y
253,0.3495,2.4308,0.8131,0.7178,0.7976,0.5895,25.9647,15.9051,0.3339,0.0024,124.2911,0.8204,0.8828,1.16,Y
254,0.3522,2.8044,0.8447,0.801,0.8149,0.6184,27.5133,15.9146,0.3296,0.0042,219.9928,0.7928,0.9483,1.333,Y
255,0.3794,2.5073,0.8371,0.551,0.8322,0.5606,29.0937,15.9273,0.3486,0.0026,127.1063,0.8303,0.6582,1.1483,Y
256,0.3102,2.322,0.7224,0.5454,0.7224,0.5433,3.655,18.0255,0.3113,0.0014,77.9516,0.8699,0.7549,1.1761,Y
257,0.3308,2.3419,0.8002,0.5155,0.7976,0.5375,5.6094,17.9557,0.3245,0.0026,141.2921,0.811,0.6443,1.1486,N
258,0.4127,2.5723,0.8831,0.5826,0.682,0.8322,7.642,17.8266,0.3654,0.0029,136.5229,0.8208,0.6597,1.1296,Y
259,0.3664,2.4168,0.824,0.7421,0.8149,0.5606,9.6249,17.9575,0.345,0.0024,118.6842,0.8289,0.9006,1.1263,Y
260,0.3053,2.2964,0.7786,0.6914,0.7571,0.497,11.41,17.8777,0.3121,0.0029,162.1667,0.8008,0.888,1.1724,Y
261,0.3289,2.3009,0.8144,0.4863,0.8149,0.4913,13.626,17.902,0.3265,0.0033,175.562,0.7946,0.5972,1.1318,Y
262,0.3288,2.2118,0.7716,0.7028,0.7687,0.5259,15.629,17.9596,0.3239,0.0019,102.3134,0.8385,0.9109,1.0882,Y
263,0.3087,2.1844,0.7122,0.5418,0.6242,0.6646,17.5031,17.997,0.3145,0.0008,46.512,0.8804,0.7608,1.109,N
264,0.2877,2.2019,0.7047,0.646,0.682,0.5433,19.3366,17.9267,0.3033,0.0012,69.5912,0.8588,0.9166,1.1581,Y
265,0.3441,2.4834,0.8369,0.7674,0.8149,0.5895,21.1122,17.7804,0.3323,0.0034,174.5137,0.7909,0.9169,1.1943,Y
266,0.3846,2.5126,0.8798,0.7855,0.8727,0.5548,22.7827,17.6776,0.3561,0.0034,167.3566,0.7953,0.8928,1.1429,Y
267,0.4703,3.1045,0.9827,0.8689,0.971,0.6126,24.5157,17.799,0.3827,0.0051,231.5894,0.7875,0.8841,1.277,N
268,0.3827,2.5954,0.8038,0.7792,0.7976,0.6242,26.1458,17.5899,0.349,0.0017,86.5316,0.8683,0.9694,1.1836,Y
269,0.3571,2.5275,0.8297,0.7432,0.8207,0.5606,27.7941,17.7388,0.3376,0.0026,131.4869,0.8127,0.8958,1.1931,Y
270,0.4135,2.5605,0.8462,0.6451,0.6242,0.8207,29.2964,17.8264,0.363,0.0015,71.5687,0.8575,0.7623,1.1233,Y
271,0.4256,2.7655,0.8649,0.8174,0.8438,0.7167,3.7593,19.8912,0.3672,0.0021,98.2073,0.8511,0.9451,1.1959,N
272,0.3605,2.5535,0.8495,0.7398,0.8496,0.5317,5.5473,19.796,0.3441,0.0034,172.5809,0.7975,0.8709,1.1998,Y
273,0.3328,2.2764,0.7725,0.528,0.7687,0.5317,7.7116,19.7254,0.3296,0.002,104.3985,0.8427,0.6835,1.1132,Y
274,0.3219,2.2549,0.747,0.5291,0.7398,0.5317,9.6684,19.6431,0.3194,0.0014,78.0577,0.857,0.7083,1.1212,Y
