Seed Number,Area ,Perimeter ,Length ,Width ,Length in Y ,Width in X ,Centroid X ,Centroid Y ,Ave Radial ,Radial Var ,CMRV ,Circular. ,Elongation ,S. Factor ,Germination
1042,0.3489,2.5039,0.7875,0.5488,0.5651,0.777,16.3424,17.5731,0.3296,0.0022,122.3102,0.8464,0.6969,1.1958,Y
1043,0.315,2.5194,0.7638,0.5156,0.5216,0.7607,18.0485,17.7165,0.3138,0.0022,128.5931,0.8291,0.675,1.2663,N
1044,0.2711,2.1348,0.6906,0.485,0.4836,0.6846,19.9398,17.6525,0.2927,0.0017,108.9165,0.8508,0.7024,1.1565,Y
1045,0.3858,2.5378,0.8014,0.5978,0.5977,0.7933,21.964,17.6431,0.3498,0.0016,82.5733,0.8745,0.746,1.1526,Y
1046,0.3646,2.4492,0.7498,0.5918,0.5977,0.739,23.7572,17.433,0.3381,0.0011,60.4221,0.9086,0.7892,1.1443,Y
1047,0.365,2.4438,0.8248,0.5605,0.5542,0.815,25.6482,17.614,0.3415,0.0023,125.0168,0.8266,0.6796,1.141,Y
1048,0.4409,2.8561,0.8694,0.6396,0.6738,0.8694,27.3193,17.3744,0.3756,0.0018,86.6366,0.8617,0.7357,1.2134,N
1049,0.2852,2.2872,0.7279,0.498,0.5325,0.7281,28.9544,17.3964,0.2982,0.0018,112.4033,0.8279,0.6843,1.2082,N
1050,0.3049,2.476,0.7492,0.5105,0.5651,0.7335,30.3384,17.3438,0.3142,0.0016,93.2487,0.8317,0.6815,1.265,N
1051,0.453,2.8342,0.8837,0.6701,0.6738,0.8802,4.5031,20.4509,0.378,0.0022,104.7139,0.8594,0.7583,1.1879,Y
1052,0.3347,2.4032,0.7673,0.5378,0.5868,0.7553,6.1225,20.3023,0.3264,0.0016,89.6154,0.8508,0.7009,1.1718,N
1053,0.3704,2.4324,0.8236,0.5605,0.6086,0.8042,7.8829,20.1239,0.3446,0.0022,115.2249,0.8337,0.6805,1.1275,Y
1054,0.3636,2.4665,0.7768,0.6031,0.6303,0.7661,9.9942,19.6881,0.3405,0.0009,48.1984,0.8758,0.7764,1.1539,N
1055,0.4201,2.7352,0.8791,0.5817,0.5923,0.8748,12.0595,19.5575,0.3652,0.0029,148.0363,0.8319,0.6617,1.1905,Y
1056,0.3647,2.4411,0.8408,0.571,0.5597,0.8205,14.2978,19.5754,0.3407,0.0025,136.5619,0.8104,0.6791,1.1403,Y
1057,0.3974,2.5116,0.8147,0.594,0.6249,0.8096,16.4197,19.6163,0.355,0.0016,84.2534,0.8731,0.7292,1.1239,Y
1058,0.3689,2.4456,0.8355,0.571,0.5651,0.815,18.1971,19.6028,0.3433,0.0023,123.7793,0.8203,0.6834,1.1358,Y
1059,0.3549,2.3695,0.8033,0.5293,0.6955,0.7553,20.056,19.4562,0.3407,0.0024,131.2062,0.8367,0.6589,1.1221,Y
1060,0.3963,2.5429,0.8632,0.5799,0.5923,0.8422,22.1239,19.681,0.3545,0.0027,137.9665,0.8229,0.6719,1.1395,Y
1061,0.3914,2.5468,0.8506,0.5894,0.614,0.8368,23.8477,19.5233,0.3557,0.0023,119.4021,0.8299,0.6929,1.1484,N
1062,0.3086,2.3775,0.7287,0.5433,0.5325,0.7064,25.6168,19.5229,0.3114,0.0013,76.498,0.8602,0.7457,1.2073,Y
1063,0.3293,2.9106,0.7992,0.5127,0.5651,0.7879,27.5626,19.4673,0.3177,0.0029,167.257,0.8101,0.6415,1.4309,Y
1064,0.3146,2.5329,0.7339,0.5365,0.5597,0.7335,29.0947,19.3896,0.3146,0.0017,99.3739,0.8623,0.7309,1.2739,Y
1065,0.3691,2.6387,0.8334,0.5526,0.6683,0.815,30.3843,19.366,0.3461,0.0025,130.6811,0.8225,0.6631,1.2252,Y
